id,section,category,question,option_a,option_b,option_c,option_d,correct_option
200,Verbal Reasoning,Technical Vocabulary,What does ETL stand for in data engineering?,Extract Transform Load,Execute Test Launch,Export Transfer Link,Evaluate Test Load,A
201,Verbal Reasoning,Technical Vocabulary,"In agile methodology, a short work cycle is called a?",Sprint,Phase,Module,Version,A
202,Verbal Reasoning,Technical Vocabulary,What does OOP stand for?,Object Oriented Programming,Open Object Processing,Ordered Object Parsing,Online Operational Program,A
203,Verbal Reasoning,Logical Verbal,Statement: 'All managers are leaders. John is a leader.' Conclusion: John is a manager.,Definitely true,Possibly true,Definitely false,Cannot say,B
204,Verbal Reasoning,Logical Verbal,Statement: 'No software engineer codes in natural language.' Sam codes in natural language. Is Sam a software engineer?,Yes,No,Cannot determine,Possibly,B
205,Verbal Reasoning,Logical Verbal,"If 'faster than' is transitive and A is faster than B, B is faster than C, then?",C is faster than A,A is faster than C,A equals C,Cannot determine,B
206,Verbal Reasoning,Inference,"Sales in Q1=50K, Q2=70K, Q3=65K, Q4=80K. Which inference is valid?",Sales declined each quarter,Q3 had highest sales,Annual trend is generally upward,Q1 and Q4 are equal,C
207,Verbal Reasoning,Inference,A company's employee satisfaction score went from 6.2 to 7.8 after introducing remote work. The most likely conclusion is?,Remote work is the only factor,Remote work contributed to higher satisfaction,Satisfaction will always increase,Previous score was due to poor management,B
208,Verbal Reasoning,Inference,A dataset shows 90% of bug reports come from 10% of the code modules. Best action?,Rewrite all code,Focus testing on that 10%,Ignore the 10%,Hire more testers,B
209,Verbal Reasoning,Verbal,The word 'cache' in computing refers to?,A type of database,Temporary fast-access storage,A programming language,A network protocol,B
210,Verbal Reasoning,Verbal,The term 'latency' in systems means?,Data storage capacity,Delay in data transmission,Processing power,Memory size,B
211,Verbal Reasoning,Verbal,Identify the correctly spelled word:,Algorigthm,Algorithm,Algorythm,Algorithmm,B
212,Verbal Reasoning,Verbal,A process that calls itself is called?,Iteration,Recursion,Compilation,Abstraction,B
213,Verbal Reasoning,Verbal,Which word fits: 'The function should ______ the data and return a cleaned version.',ignore,validate,delete,replicate,B
214,Verbal Reasoning,Verbal,Choose the grammatically correct option for a professional email subject line:,re: meeting,Re: Project Update – Q3 Review,project update,meeting tmrw??,B
215,Verbal Reasoning,Verbal,Which is the most concise way to say 'due to the fact that'?,because,on account of,in view of the fact that,as a result of,A
216,Verbal Reasoning,Verbal,SQL is best described as a?,General purpose programming language,Query language for databases,Markup language,Low-level language,B
217,Verbal Reasoning,Verbal,The process of finding and fixing errors in code is called?,Compiling,Debugging,Deploying,Refactoring,B
218,Verbal Reasoning,Verbal,A flowchart is used to represent?,Database schema,Algorithm or process flow,Network topology,File structure,B
219,Verbal Reasoning,Verbal,"In project management, a bottleneck refers to?",A milestone,A constraint that limits overall throughput,A budget issue,A team meeting,B
220,Verbal Reasoning,Verbal,The principle of writing code that others can easily read and understand is called?,Code obfuscation,Code readability,Code compression,Code encryption,B
221,Technical / CS Concepts,Data Structures,Time complexity of binary search in a sorted array of n elements?,O(n),O(log n),O(n log n),O(1),B
222,Technical / CS Concepts,Data Structures,Which data structure uses LIFO order?,Queue,Stack,Linked List,Tree,B
223,Technical / CS Concepts,Data Structures,Which data structure uses FIFO order?,Stack,Queue,Hash Table,Graph,B
224,Technical / CS Concepts,Data Structures,"In a min-heap, the root always contains?",The maximum element,The minimum element,The median element,A random element,B
225,Technical / CS Concepts,Data Structures,Time complexity of inserting an element into a sorted linked list of n elements?,O(1),O(log n),O(n),O(n log n),C
226,Technical / CS Concepts,Data Structures,Which data structure is best for implementing a browser's back button?,Queue,Stack,Heap,Graph,B
227,Technical / CS Concepts,Data Structures,A Binary Search Tree with n nodes has a height of at most?,log n,n,n/2,n²,B
228,Technical / CS Concepts,Data Structures,Which traversal visits nodes in Left-Root-Right order?,Preorder,Inorder,Postorder,Level-order,B
229,Technical / CS Concepts,Data Structures,An array of 10 elements starts at address 200 with each element taking 4 bytes. Address of element at index 5?,220,224,220,240,A
230,Technical / CS Concepts,Data Structures,Which data structure is best for LRU cache implementation?,Array,Stack,HashMap + Doubly Linked List,Queue,C
231,Technical / CS Concepts,Algorithms,Which sorting algorithm has worst-case O(n log n)?,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,C
232,Technical / CS Concepts,Algorithms,Bubble sort time complexity in worst case?,O(n),O(n log n),O(n²),O(log n),C
233,Technical / CS Concepts,Algorithms,Dijkstra's algorithm is used for?,Minimum spanning tree,Shortest path in weighted graph,Sorting,Graph coloring,B
234,Technical / CS Concepts,Algorithms,Dynamic programming solves problems by?,Dividing into independent subproblems,Storing and reusing subproblem solutions,Randomized guessing,Greedy local choices,B
235,Technical / CS Concepts,Algorithms,Which technique is used in QuickSort?,Dynamic Programming,Divide and Conquer,Greedy,Backtracking,B
236,Technical / CS Concepts,Algorithms,The recurrence T(n) = 2T(n/2) + n solves to?,O(n),O(n log n),O(n²),O(log n),B
237,Technical / CS Concepts,Algorithms,Which algorithm is optimal for finding MST?,BFS,DFS,Kruskal's / Prim's,Dijkstra's,C
238,Technical / CS Concepts,Algorithms,Space complexity of recursive DFS on a graph with V vertices and E edges?,O(V+E),O(V),O(E),O(1),B
239,Technical / CS Concepts,OOP,Which OOP principle hides implementation details from users?,Inheritance,Encapsulation,Polymorphism,Abstraction,D
240,Technical / CS Concepts,OOP,A child class inheriting from parent class is an example of?,Polymorphism,Abstraction,Inheritance,Encapsulation,C
241,Technical / CS Concepts,OOP,Overloading a method with different parameters in the same class is?,Runtime Polymorphism,Compile-time Polymorphism,Inheritance,Abstraction,B
242,Technical / CS Concepts,OOP,Which keyword prevents inheritance in Java?,static,private,final,abstract,C
243,Technical / CS Concepts,OOP,An interface in Java can contain?,Only abstract methods,Abstract methods and default methods (Java 8+),Only concrete methods,Fields with values,B
244,Technical / CS Concepts,OOP,Which design pattern creates objects without specifying exact class?,Singleton,Factory,Observer,Decorator,B
245,Technical / CS Concepts,OOP,The Singleton pattern ensures?,Multiple instances,Only one instance of a class,Fast object creation,Interface implementation,B
246,Technical / CS Concepts,SQL,Which SQL command retrieves data from a table?,INSERT,UPDATE,SELECT,DELETE,C
247,Technical / CS Concepts,SQL,Which JOIN returns all rows from the left table and matching rows from right?,INNER JOIN,RIGHT JOIN,LEFT JOIN,FULL OUTER JOIN,C
248,Technical / CS Concepts,SQL,What does GROUP BY do in SQL?,Sorts data,Filters rows,Groups rows with same values for aggregate functions,Joins tables,C
249,Technical / CS Concepts,SQL,Which SQL clause filters results after GROUP BY?,WHERE,ORDER BY,HAVING,FILTER,C
250,Technical / CS Concepts,SQL,What is the result of: SELECT COUNT(*) FROM employees WHERE salary > 50000?,Returns all employee names,Returns number of employees with salary > 50000,Returns total salary,Returns employee IDs,B
251,Technical / CS Concepts,SQL,Which normal form eliminates transitive dependencies?,1NF,2NF,3NF,BCNF,C
252,Technical / CS Concepts,SQL,What does PRIMARY KEY constraint do?,Allows NULL values,Allows duplicates,Uniquely identifies each row,Links two tables,C
253,Technical / CS Concepts,SQL,Which SQL command removes all rows from a table but keeps its structure?,DROP,DELETE,TRUNCATE,REMOVE,C
254,Technical / CS Concepts,SQL,What does DISTINCT keyword do in SQL?,Sorts results,Removes duplicate rows from result,Counts unique values,Filters by condition,B
255,Technical / CS Concepts,SQL,Write a query to find the second highest salary from Employees table. Which approach works?,SELECT MAX(salary) FROM Employees,SELECT salary FROM Employees ORDER BY salary DESC LIMIT 1 OFFSET 1,SELECT MIN(salary) FROM Employees,SELECT TOP salary FROM Employees,B
256,Technical / CS Concepts,Operating Systems,Which scheduling algorithm may cause starvation?,Round Robin,FCFS,Priority Scheduling,Shortest Job First,C
257,Technical / CS Concepts,Operating Systems,A process vs a thread — key difference?,Threads share memory; processes have separate memory,Processes share memory; threads do not,Threads are slower,Processes cannot run concurrently,A
258,Technical / CS Concepts,Operating Systems,What is a semaphore used for?,Memory allocation,Process synchronization,File management,CPU scheduling,B
259,Technical / CS Concepts,Operating Systems,Virtual memory allows?,Running programs larger than physical RAM,Faster CPU execution,Better GPU performance,Persistent storage,A
260,Technical / CS Concepts,Operating Systems,Page replacement algorithm that replaces the page not used for longest time?,FIFO,LRU,Optimal,Clock,B
261,Technical / CS Concepts,Networks,TCP vs UDP — main difference?,TCP is faster,UDP provides reliable delivery,TCP provides reliable delivery; UDP does not,UDP is connection-oriented,C
262,Technical / CS Concepts,Networks,HTTP operates at which OSI layer?,Layer 3 (Network),Layer 4 (Transport),Layer 7 (Application),Layer 2 (Data Link),C
263,Technical / CS Concepts,Networks,What is a RESTful API?,A database protocol,An architectural style for web services using HTTP,A type of SQL query,A cloud service,B
264,Technical / CS Concepts,Networks,What does DNS stand for and do?,Data Network System – stores data,Domain Name System – translates domain names to IPs,Dynamic Network Service – manages IP,Data Naming Service – labels servers,B
265,Technical / CS Concepts,Networks,Status code 404 means?,Server error,Unauthorized,Resource not found,Request successful,C
266,Technical / CS Concepts,Networks,Status code 200 means?,Resource not found,Server error,Request successful,Redirect,C
267,Technical / CS Concepts,Programming,What is the output of: print(type(3/2)) in Python 3?,<class 'int'>,<class 'float'>,<class 'str'>,Error,B
268,Technical / CS Concepts,Programming,"What is the result of: [1,2,3] + [4,5,6] in Python?","[5,7,9]","[1,2,3,4,5,6]",Error,"[[1,2,3],[4,5,6]]",B
269,Technical / CS Concepts,Programming,Which Python data structure is immutable?,List,Dictionary,Tuple,Set,C
270,Technical / CS Concepts,Programming,What does the 'self' keyword represent in Python class methods?,The class itself,The current instance of the class,A global variable,A static method,B
271,Technical / CS Concepts,Programming,Big O notation O(1) means?,Linear time,Logarithmic time,Constant time,Quadratic time,C
272,Technical / CS Concepts,Programming,What does 'try-except' block do in programming?,Optimizes code,Handles runtime exceptions,Creates a loop,Declares variables,B
273,Technical / CS Concepts,Programming,A function that takes another function as argument is called?,Recursive function,Lambda function,Higher-order function,Anonymous function,C
274,Technical / CS Concepts,Programming,"In Python, list comprehension [x**2 for x in range(5)] gives?","[1,4,9,16,25]","[0,1,4,9,16]","[0,1,2,3,4]","[1,2,3,4,5]",B
275,Technical / CS Concepts,Programming,What is the purpose of a constructor (__init__) in Python?,Destroy an object,Initialize object attributes,Define class variables,Import modules,B
276,Technical / CS Concepts,Programming,Which Python built-in function returns the length of an object?,size(),count(),len(),length(),C
277,Technical / CS Concepts,Data Analysis,"In a dataset, the value that appears most frequently is called?",Mean,Median,Mode,Range,C
278,Technical / CS Concepts,Data Analysis,"If a dataset has outliers, which measure of central tendency is more robust?",Mean,Median,Mode,Standard Deviation,B
279,Technical / CS Concepts,Data Analysis,Correlation coefficient of –1 means?,No correlation,Perfect positive correlation,Perfect negative correlation,Weak correlation,C
280,Technical / CS Concepts,Data Analysis,Which chart type is best for showing a trend over time?,Pie chart,Bar chart,Line chart,Scatter plot,C
281,Technical / CS Concepts,Data Analysis,A p-value less than 0.05 typically means?,Accept null hypothesis,Reject null hypothesis,No statistical significance,Data is corrupted,B
282,Technical / CS Concepts,Data Analysis,Which SQL aggregate function calculates the average?,SUM(),COUNT(),AVG(),MAX(),C
283,Technical / CS Concepts,Data Analysis,"In a box plot, the middle line represents?",Mean,Mode,Median,Standard Deviation,C
284,Technical / CS Concepts,Data Analysis,What is a foreign key in a database?,The primary identifier of a table,A key that links to a primary key in another table,A key with no duplicates,An index key,B
285,Technical / CS Concepts,Data Analysis,Which Python library is most commonly used for data manipulation?,NumPy,Matplotlib,Pandas,Scikit-learn,C
286,Technical / CS Concepts,Data Analysis,What does 'df.dropna()' do in pandas?,Drops all rows,Drops columns with NA values,Drops rows with missing values,Fills NA with 0,C
287,Technical / CS Concepts,System Design,Which approach improves scalability by dividing data across multiple databases?,Caching,Sharding,Indexing,Normalization,B
288,Technical / CS Concepts,System Design,What is the purpose of a load balancer?,Store data,Distribute incoming requests across multiple servers,Encrypt data,Monitor CPU usage,B
289,Technical / CS Concepts,System Design,What is microservices architecture?,Monolithic application in one codebase,Application built as independent small services,A design pattern for databases,A testing methodology,B
290,Technical / CS Concepts,System Design,CAP theorem states a distributed system can guarantee at most how many of its properties simultaneously?,1,2,3,All 3 depending on design,B
291,Technical / CS Concepts,System Design,"What is the purpose of a message queue (e.g. Kafka, RabbitMQ)?",Direct database access,Decouple services by passing messages asynchronously,Speed up SQL queries,Replace REST APIs,B
292,Technical / CS Concepts,System Design,Which caching strategy writes data to cache and database simultaneously?,Cache-aside,Write-through,Write-back,Read-through,B
293,Technical / CS Concepts,DevOps,What does 'git merge' do?,Deletes a branch,Combines two branches,Creates a new branch,Reverts a commit,B
294,Technical / CS Concepts,DevOps,What is CI/CD?,Customer Integration / Customer Delivery,Continuous Integration / Continuous Delivery,Code Integration / Code Deployment,Central Integration / Central Deployment,B
295,Technical / CS Concepts,DevOps,Which command undoes the last git commit locally without losing changes?,git revert,git reset HEAD~1,git delete commit,git undo,B
296,Technical / CS Concepts,DevOps,Docker containers are most useful for?,Writing code,Ensuring consistent environments across development and production,Managing databases,Testing UI,B
297,Technical / CS Concepts,ML Basics,Supervised learning requires?,Unlabeled data,Labeled training data,No data,Random initialization,B
298,Technical / CS Concepts,ML Basics,Which algorithm is used for classification and regression?,K-means,Decision Tree,PCA,Apriori,B
299,Technical / CS Concepts,ML Basics,Overfitting can be reduced by?,Adding more parameters,Increasing model complexity,Using regularization or more training data,Removing training data,C
300,Technical / CS Concepts,ML Basics,What does the 'confusion matrix' measure?,Unsupervised clustering quality,"Classification model performance using TP, FP, TN, FN",Regression accuracy,Feature importance,B
301,Technical / CS Concepts,ML Basics,"In k-means clustering, k represents?",Number of features,Number of clusters,Number of iterations,Number of data points,B
302,Technical / CS Concepts,ML Basics,Which metric measures model accuracy for imbalanced datasets better than accuracy?,Mean Squared Error,Precision-Recall / F1 Score,R² score,Variance,B
303,Technical / CS Concepts,ML Basics,What is 'feature engineering'?,Building new features from raw data to improve model,Selecting the right algorithm,Tuning hyperparameters,Cleaning missing values only,A
304,Technical / CS Concepts,Agile / SDLC,"In Scrum, who is responsible for maintaining the product backlog?",Scrum Master,Development Team,Product Owner,Stakeholder,C
305,Technical / CS Concepts,Agile / SDLC,What is the purpose of a sprint retrospective?,Plan the next sprint,Review product increment,Reflect and improve team process,Demo to stakeholders,C
306,Technical / CS Concepts,Agile / SDLC,Which SDLC model works best for projects with frequently changing requirements?,Waterfall,V-Model,Agile,Spiral,C
307,Technical / CS Concepts,Agile / SDLC,"In Agile, a 'user story' follows which format?",As a [role] I want [feature] so that [benefit],I want [feature],[role] needs [feature],Feature: [name] Benefit: [result],A
308,Technical / CS Concepts,Technical Misc,Which data format is most commonly used in REST APIs?,XML,CSV,JSON,Binary,C
309,Technical / CS Concepts,Technical Misc,What is the purpose of indexing in a database?,Encrypt data,Speed up query performance,Normalize tables,Delete duplicates,B
310,Technical / CS Concepts,Technical Misc,What is the difference between == and === in JavaScript?,Both are identical,== compares value only; === compares value and type,=== compares value only,== is for numbers only,B
